SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     5.64      0.503    0.00491    0.0374    0.0264 0.3264    0.0201  -29.19    2.15  286.32   0.07  171.84   0.08   -0.088   0.0122      0.139    1.54138   0.747   0.0107   0.0106       52.985       64.458   -4.31   -4.52     69     97   -0.0422  0.0133   3.49E-4  0.0119   0.00869  0.0088    0.0407  0.0103    29     0    10     0   2.71E-4   2.0
     6.21      0.467      0.005    0.0393    0.0278 0.3545    0.0205  -27.82    2.05  286.29   0.07  171.77   0.09  -0.0763   0.0101      0.133    1.57855   0.828   0.0117   0.0116       56.952       73.279   -4.39   -4.66     77    121   -0.0482  0.0138   -0.0131  0.0123   0.00639 0.00934    0.0415  0.0108    31     0    10     0   3.18E-4   2.0
     6.83      0.433    0.00366    0.0297     0.021 0.3805    0.0158  -27.82    1.49  286.18   0.06  171.65   0.08  -0.0629   0.0074      0.118    1.61662   0.909  0.00921  0.00913       63.346       81.298    -4.5   -4.78     91    145   -0.0353  0.0106   -0.0224  0.0102   0.00176 0.00805    0.0303 0.00886    33     0    10     0   0.00125   2.0
     7.51      0.405     0.0033     0.028    0.0198 0.4105    0.0135  -28.48    1.22  286.11   0.06  171.60   0.08  -0.0568   0.0071      0.125    1.65560    0.98  0.00887   0.0088       68.358       90.654   -4.59   -4.89    103    177    -0.015  0.0105   -0.0212  0.0105   -0.0117 0.00878    0.0302 0.00934    36     0    10     0   1.86E-4   2.0
     8.26      0.376    0.00359    0.0313    0.0221 0.4377    0.0147  -28.56    1.27  286.09   0.08  171.61   0.10   -0.049   0.0064      0.131    1.69552    1.06   0.0104   0.0103       76.265       102.43   -4.71   -5.03    123    221  -0.00648  0.0124   -0.0202  0.0126   -0.0139  0.0104    0.0389  0.0114    38     0    10     0   4.07E-4   2.0
     9.09      0.349    0.00358    0.0324    0.0229 0.4649    0.0154  -28.26    1.29  286.09   0.09  171.65   0.12  -0.0399   0.0053      0.133    1.73641    1.14   0.0112   0.0111       82.651       112.63   -4.79   -5.13    141    261   0.00138   0.014   -0.0211  0.0141   -0.0116   0.012    0.0432  0.0131    41     0    10     0   2.98E-4   2.0
    10.00      0.324    0.00305    0.0286    0.0202 0.4885    0.0127  -28.77    1.03  286.09   0.08  171.70   0.11  -0.0356   0.0042      0.117    1.77828    1.22   0.0103   0.0102       88.904       126.48   -4.87   -5.26    159    317   -0.0049  0.0119   -0.0235   0.012   -0.0156  0.0101    0.0381  0.0108    44     0    20     0   8.41E-5   2.0
    11.00      0.297    0.00281    0.0272    0.0192 0.5062    0.0132  -29.24    1.04  286.15   0.10  171.86   0.13  -0.0277   0.0037      0.135    1.82116    1.32   0.0103   0.0102       98.086       140.21   -4.98   -5.37    189    377   -0.0112  0.0131   -0.0167  0.0131  -0.00789  0.0117    0.0372  0.0127    47     0    10     0   5.79E-4   2.0
    12.10      0.279     0.0025     0.025    0.0177 0.5317    0.0108  -30.73    0.83  286.15   0.09  171.96   0.12  -0.0259   0.0032      0.122    1.86508    1.39  0.00978  0.00969        104.6       159.41   -5.05   -5.51    211    465   6.02E-4  0.0115   0.00601  0.0114   -0.0105  0.0107    0.0284  0.0111    50     0    10     0   0.00106   2.0
    13.31      0.248    0.00304    0.0319    0.0225 0.5310    0.0250  -31.98    1.93  286.01   0.24  171.83   0.30  -0.0123   0.0033      0.265    1.91005    1.51   0.0134   0.0132       117.71       177.97   -5.18   -5.63    261    553    0.0365   0.027    0.0565  0.0291   -0.0435  0.0268    0.0166  0.0246    55     0    19     0   0.00158   2.0
