SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR     PA PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR    RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER STOP     A_BIG SAREA
pixel                                                         degrees degrees   pixel  pixel   pixel  pixel                        pixel**1/4                                                                                                                                                                                      pixel

     5.50       2.42    0.00624    0.0491    0.0347 0.2082 0.0053  31.98   0.83  234.67   0.02  123.07   0.02   -0.509 0.0175 0.0343 1.53141  -0.959  0.0028  0.0028       350.13         392.   -6.36   -6.48     77     97   0.00253 0.00325  -7.06E-4  0.0032  -0.00681 0.00291   0.00348 0.00287    31     0  10  0   1.54E-4   2.0
     6.05       2.16     0.0062    0.0511    0.0361 0.2178 0.0056  31.85   0.84  234.66   0.02  123.06   0.02   -0.428 0.0163 0.0381 1.56834  -0.835 0.00312 0.00311       381.27       422.82   -6.45   -6.57     91    113   0.00238 0.00345  -0.00314 0.00339  -0.00166 0.00322    0.0065 0.00318    34     0  10  0   2.63E-5   2.0
     6.66       1.91    0.00753    0.0648    0.0458 0.2244 0.0073  32.25   1.06  234.64   0.03  123.07   0.03    -0.36 0.0163 0.0453 1.60615  -0.703 0.00428 0.00427       421.63       463.21   -6.56   -6.66    111    137   0.00232 0.00445  -0.00612 0.00442   0.00198 0.00396    0.0116 0.00395    37     0  10  0   5.40E-5   2.0
     7.32       1.71    0.00627    0.0561    0.0396 0.2435 0.0061  33.34   0.83  234.63   0.03  123.07   0.03   -0.314 0.0136 0.0434 1.64488  -0.582 0.00399 0.00397       449.85       519.73   -6.63   -6.79    127    177    0.0074 0.00375  -0.00335 0.00372  -9.68E-5 0.00291    0.0141 0.00296    40     0  10  0   1.32E-4   2.0
     8.05       1.52     0.0061    0.0566      0.04 0.2670 0.0060  33.37   0.75  234.62   0.03  123.10   0.03   -0.273  0.011 0.0403 1.68455  -0.457 0.00436 0.00434       488.68       544.17   -6.72   -6.84    151    197   0.00649  0.0039  -0.00125 0.00389  -0.00116 0.00298    0.0158 0.00305    43     0  10  0   2.31E-4   2.0
     8.86       1.34    0.00512    0.0497    0.0351 0.2887 0.0054  32.72   0.64  234.63   0.03  123.13   0.03   -0.221 0.0093 0.0419 1.72517  -0.321 0.00415 0.00413       528.06       592.99   -6.81   -6.93    179    241  -0.00196 0.00374  -0.00375 0.00371  -0.00257 0.00295    0.0149 0.00299    47     0  10  0   9.97E-4   2.0
     9.74       1.18    0.00482    0.0482    0.0341 0.3101 0.0054  31.15   0.59  234.68   0.03  123.02   0.03   -0.186 0.0076 0.0407 1.76677  -0.184 0.00443 0.00441       563.23       641.76   -6.88   -7.02    207    293   0.00173 0.00364  -0.00828 0.00367   -0.0105  0.0028    0.0124 0.00283    50     0  10  0   2.24E-4   2.0
    10.72       1.02    0.00419    0.0439    0.0311 0.3168 0.0060  28.86   0.65  234.68   0.04  123.00   0.04   -0.131 0.0084 0.0643 1.80937 -0.0184 0.00448 0.00446       608.82       692.33   -6.96    -7.1    249    357   -0.0023 0.00427   0.00215 0.00428    -0.018 0.00365  -8.34E-4 0.00347    55     0  10  0   5.61E-4   2.0
    11.79       0.92    0.00579    0.0629    0.0445 0.3451 0.0083  24.66   0.84  234.69   0.06  123.07   0.07   -0.113  0.008 0.0703 1.85300  0.0909 0.00685 0.00681       647.32       746.57   -7.03   -7.18    289    437   -0.0114 0.00604   0.00551 0.00601   -0.0346 0.00448   0.00359 0.00378    59     0  10  0   0.00299   2.0
    12.97      0.809    0.00636    0.0719    0.0509 0.3604 0.0100  21.38   0.98  234.67   0.07  123.08   0.09  -0.0911 0.0085 0.0935 1.89769    0.23 0.00857  0.0085       688.68       794.04    -7.1   -7.25    337    517   -0.0165 0.00759  -8.73E-4 0.00745   -0.0436 0.00636   0.00217  0.0049    64     0  10  0   1.00E-3   2.0
    14.27      0.733    0.00862     0.101    0.0716 0.3903 0.0141  18.96   1.32  234.59   0.11  123.30   0.15  -0.0751 0.0092  0.122 1.94345   0.337  0.0128  0.0127       728.79       858.95   -7.16   -7.33    389    641   -0.0306  0.0115   0.00835  0.0109   -0.0626  0.0107     0.014 0.00765    69     0  10  0   0.00219   2.0
